Date,Open,High,Low,Close,Volume
2024-05-06,258.64119621013754,259.42363433139207,256.71375439086097,256.9618225097656,2481300
2024-05-07,257.6678832104708,258.2690238541897,254.75760422601041,255.24424743652344,3160000
2024-05-08,255.24427077886946,256.6087471816691,253.87024321596655,256.18890380859375,3259800
2024-05-09,256.16028969219684,256.1793920131673,254.78626207434294,255.67367553710938,3140000
2024-05-10,255.8835699947043,262.76322939276696,255.56867292612793,262.400634765625,4983500
2024-05-13,262.7632370455269,264.06091351794595,258.71750554988,258.8892517089844,3840700
2024-05-14,259.652591701677,260.2728055883477,256.39882018739485,258.2594909667969,3143200
2024-05-15,258.6888303327877,261.79947973232714,257.84917280792695,261.3223876953125,2982500
2024-05-16,261.93309648950816,262.9349781845447,260.41594720760673,260.9789123535156,2339900
2024-05-17,261.5036875545857,261.5036875545857,258.507564674934,259.9006652832031,2454500
2024-05-20,259.2899778445212,259.66212362058155,255.03432491476093,255.5972900390625,2651100
2024-05-21,256.2080098600996,256.75187272548504,253.2786573660135,253.68894958496094,2362600
2024-05-22,253.68893009629497,254.59541666795172,252.42940005548414,253.593505859375,1906100
2024-05-23,252.9828386812393,253.45037957866833,245.79783347107914,246.11270141601562,5636200
2024-05-24,246.88557971684418,248.52677750038865,245.72147397363955,246.28443908691406,3382900
2024-05-28,245.59748824141604,246.95241351525175,241.0746352765023,241.92385864257812,4324700
2024-05-29,241.75210057166743,242.17194393372287,237.74452999152015,237.9449005126953,4029300
2024-05-30,239.1280792577358,241.37041772950084,238.64145060542882,240.5211944580078,3597800
2024-05-31,242.54407042421423,247.37223987387938,241.8952176338317,247.02874755859375,6125400
2024-06-03,247.7105989234739,249.65058365627706,245.47292829311388,249.45849609375,4342800
2024-06-04,249.06470506230363,252.6661265829809,248.9782744628206,252.310791015625,4592700
2024-06-05,251.13914673322572,251.36962834961287,248.41167347501028,249.68896484375,4136800
2024-06-06,250.57250427345625,251.41764253632164,248.67094318200913,250.39002990722656,3354300
2024-06-07,249.76580979727274,251.04310115685385,245.22320591724343,246.05873107910156,2290100
