Date,Open,High,Low,Close,Volume
2024-05-06,423.4429118495515,425.96392356603513,421.45869016552865,425.2833557128906,1914300
2024-05-07,426.7211771897868,428.8779321816251,424.51647675752383,425.4079284667969,2058200
2024-05-08,424.4493908453296,429.45306383408143,423.7304724805829,428.42742919921875,2006700
2024-05-09,427.8426388580182,437.5144825079044,427.8426388580182,436.6805419921875,2710200
2024-05-10,437.6007765705303,439.73837089906425,435.491967057445,435.8849792480469,1823900
2024-05-13,437.3612030083144,438.25268408852435,434.53347475176,434.7635192871094,1579600
2024-05-14,435.9904316828201,442.63323029903523,435.19484157015063,439.4700012207031,2412900
2024-05-15,442.46066012667455,446.8700315456738,441.8471983895113,446.774169921875,2217700
2024-05-16,445.1255092807822,448.84471846232714,443.12212686141686,445.269287109375,2070300
2024-05-17,447.0521755084276,449.23768604440636,445.010442786751,448.3366394042969,1655900
2024-05-20,448.7967842500651,451.9408527381318,443.42885459284156,443.7547607421875,2591500
2024-05-21,443.07422562023874,451.7779184215003,443.0454700535499,450.91522216796875,2762600
2024-05-22,447.99152477900833,450.8384423953238,440.69691452556975,443.2179260253906,2729500
2024-05-23,444.99131709837525,445.0679888544021,438.45394560148156,439.16326904296875,2254500
2024-05-24,440.78322402104124,445.96902533267394,440.0739005958292,442.06768798828125,1932200
2024-05-28,440.87907275970184,444.47366447617145,439.891759405026,440.75445556640625,1930800
2024-05-29,435.99042092475895,439.72879044859707,432.9326192398198,438.223876953125,2315700
2024-05-30,436.8544598345423,439.61251139280176,431.64692911322106,434.1831970214844,2135000
2024-05-31,433.7299485675768,440.4900825783786,432.1483862817534,440.2489929199219,2638300
2024-06-03,442.51522514059855,442.51522514059855,434.15425257695745,438.7638854980469,1930700
2024-06-04,434.4435695245143,441.396587113827,433.1995386322324,439.0724792480469,1835000
2024-06-05,441.24226144987404,446.517304118761,441.19405529228936,445.2250671386719,1678900
2024-06-06,445.3600896811377,447.96384020792703,440.7215272323752,441.7726745605469,1598000
2024-06-07,439.20752005657886,444.72365288944053,438.30102054199074,438.6964111328125,1736100
2024-06-10,436.2083080033285,439.13031335341617,434.2506612431033,437.38482666015625,1698600
2024-06-11,434.9643348220825,435.7550865503395,427.577344013057,428.43560791015625,1938200
2024-06-12,439.3618328652579,441.3291328682215,430.28721389935345,432.707763671875,1733000
2024-06-13,430.80798934930385,432.3413162101679,426.3912098513144,430.4415283203125,1849100
2024-06-14,426.2368621266421,432.2544799996334,423.49808714472056,430.54754638671875,1559100
2024-06-17,429.2360199775636,434.7135697781068,427.586975007201,434.13494873046875,1531600
2024-06-18,433.5467117711253,441.3772990551996,432.52449398851786,441.1265563964844,1798400
2024-06-20,441.6762811420217,444.0003891224128,439.0146417332948,441.7244873046875,2080600
2024-06-21,442.33199685398813,442.44771517753793,433.8649294988896,434.13494873046875,3780800
2024-06-24,435.16683920269537,446.9995091996624,433.96139089465464,445.6204833984375,1882200
2024-06-25,443.08422220664255,447.5395545123231,440.4708184753248,441.078369140625,1555900
2024-06-26,439.17857457771066,441.6087477712645,436.3240812254568,439.6125183105469,2131700
2024-06-27,433.749256480444,433.749256480444,427.01802213529305,430.0653991699219,2835200
2024-06-28,434.0578226283021,441.039769649783,433.5081311493474,436.1986999511719,3839700
2024-07-01,438.3106759086711,447.481707002658,437.8284965655421,447.1345520019531,1850500
2024-07-02,445.0611374983251,449.6514643249957,443.2192090796629,449.0149841308594,1491800
2024-07-03,452.3227832633053,453.14249399059645,449.21754727548836,451.2427062988281,993900
2024-07-05,450.8087562668514,450.9148215959976,443.73036704091794,448.1856994628906,1593800
2024-07-08,450.9822957310559,457.93531303256407,447.50097529343924,448.253173828125,2214300
2024-07-09,449.0053973830215,462.21709334946314,445.12865673986283,455.9776916503906,4525100
2024-07-10,455.6691035689009,462.75711592266816,453.1039060933922,461.82171630859375,1946000
2024-07-11,462.89214271881985,465.93951952330553,459.295074431682,462.14959716796875,2251400
2024-07-12,463.78899302127945,466.209542621848,461.05987102306034,462.77642822265625,2727800
2024-07-15,463.13322204685574,475.4287943135864,459.3336467723925,474.6862487792969,3568200
2024-07-16,476.39317042528586,488.53444222903175,474.4548001321039,485.0916748046875,3981700
2024-07-17,485.0723973612607,491.3214519617885,481.62962994305786,484.2816162109375,3908900
2024-07-18,481.7164092710342,485.73779768231,466.96173409562726,468.88079833984375,3320200
2024-07-19,471.6870883535644,475.043066980417,465.96844874136235,467.64642333984375,2032700
2024-07-22,467.28962385603734,472.0246283466245,465.18732906776074,469.6812438964844,1792500
2024-07-23,469.7198251610308,478.13868725185404,468.9483499688583,474.609130859375,2020500
2024-07-24,471.8221188073099,478.3122336356576,468.5047227229985,469.3533630371094,1598600
2024-07-25,468.7265406068297,478.4279869036688,466.0070714033222,474.184814453125,1489700
2024-07-26,478.05187170360443,486.0367601575689,477.9843595348533,481.243896484375,2249700
2024-07-29,482.58432515006865,484.1079987307878,473.55791369489316,475.15875244140625,1599500
2024-07-30,480.54952233435733,491.3117676341734,480.53986933097923,487.647216796875,2642500
2024-07-31,486.8660931758868,498.8241639617032,486.8660931758868,490.8874816894531,2658900
2024-08-01,491.8229121282661,495.69965274134825,477.0489305282198,482.2950439453125,4006800
2024-08-02,473.5965222173947,476.8367530409023,450.55798075413566,453.8657531738281,6115500
2024-08-05,431.6372994250254,446.6716477625454,421.78155250682437,442.659912109375,4177200
2024-08-06,444.5789590643393,458.31141584700947,441.1265388619137,453.460693359375,2209300
2024-08-07,462.3038573475094,471.13735572778313,455.72692500269034,456.1512451171875,2587600
2024-08-08,460.83805462902063,470.34664604127653,460.15336824087194,468.45648193359375,1936400
2024-08-09,467.73317911145597,474.46441246847155,465.01371033353433,472.78643798828125,1622700
2024-08-12,472.7864931828422,475.30345519696556,466.5085087942169,468.1961364746094,1839300
2024-08-13,472.81539984353765,475.68916971912523,469.1315428223309,474.4065856933594,1243700
2024-08-14,475.3323614837251,481.5524864014197,470.9927476611167,480.9256591796875,1545600
2024-08-15,487.0011283713005,488.843056962668,480.5013603527814,481.2342529296875,1732300
2024-08-16,479.3344589926329,486.9143333449834,479.28625283170874,486.2875061035156,1587000
