Date,Open,High,Low,Close,Volume
2024-05-06,452.51225464015755,463.02102923203086,450.2873477934908,462.54425048828125,15094600
2024-05-07,463.1501848954651,468.3548909827228,458.2037074526032,465.0870361328125,13406800
2024-05-08,460.37896403219986,472.3776084845462,459.8823308455416,469.4176940917969,11683900
2024-05-09,466.83523249223947,472.87427918375715,464.4811958506699,472.21875,9437700
2024-05-10,473.87749114181366,474.2847340273294,466.43793506604857,472.9934997558594,10750000
2024-05-13,469.5666850409423,470.1626509363038,459.73335385977305,464.8586120605469,14668800
2024-05-14,460.24979003132785,469.3580551308664,456.9819354918499,468.6726989746094,10478600
2024-05-15,471.78169064027946,479.25104313597546,468.02714482052664,478.2975158691406,13100500
2024-05-16,471.801527600696,474.4734165714435,469.5666782594295,470.04345703125,16608200
2024-05-17,467.65958568158874,469.6163216180006,465.2658404350713,468.7323303222656,10807300
2024-05-20,466.78555537893186,470.01367116907085,463.89514652631107,465.6830139160156,11745100
2024-05-21,463.97456625143184,467.53047671083374,459.1572184570371,461.5013427734375,11742200
2024-05-22,464.71951728620587,470.53013143312546,462.51446480062907,464.630126953125,10078600
2024-05-23,469.6958131205523,471.1658279710308,458.4321759489414,462.64361572265625,11747900
2024-05-24,464.47124760813773,476.6189070760728,463.1601286330432,474.9998779296875,12024300
2024-05-28,473.37090944104057,477.6220886169313,471.64263552507384,476.6884460449219,10175800
2024-05-29,471.4638306252424,476.6188856395713,470.51030337355337,471.16583251953125,9226200
2024-05-30,468.4939760428169,468.5535696018269,461.5808200768087,463.9050598144531,10719600
2024-05-31,462.66346029491183,465.9611118987805,451.3998233629331,463.6865234375,16919800
2024-06-03,467.68938886665507,476.370557560807,465.08703582474993,474.2747497558594,11279400
2024-06-04,473.7880795710405,475.66536764367015,470.0434761018759,473.77813720703125,7088700
2024-06-05,481.18789892832643,493.30573030037567,480.65152660799043,491.7264404296875,15690500
2024-06-06,489.6604950970564,499.4342331212912,487.5845718978277,490.43524169921875,10667300
2024-06-07,492.57071177763146,495.550510782331,486.8693727151729,489.64056396484375,9380700
2024-06-10,490.53452930197295,499.2752918011658,490.087577609636,499.2156982421875,11220900
2024-06-11,496.792112209235,504.18201644117164,494.914824216535,504.0528869628906,9673700
2024-06-12,510.5290124391708,510.5488971678868,501.0731267567173,505.4136962890625,11983200
2024-06-13,502.3047412736244,505.9301575612256,497.98402638310364,500.7055969238281,9954600
2024-06-14,499.76105901416054,504.2351956755983,497.8719851588786,501.26239013671875,10243300
2024-06-17,498.786655835113,507.81445501821185,493.1591831477412,503.7181396484375,11266600
2024-06-18,501.6600694232584,503.0917955375381,492.1748915017007,496.61920166015625,13060400
2024-06-20,499.1147614196994,500.77517646661437,493.9148098546325,498.8164978027344,11801200
2024-06-21,500.55649337523585,500.55649337523585,489.5600618320149,491.9363098144531,22359200
2024-06-24,496.33088323813683,504.88143086237153,491.4490995948573,496.04254150390625,13525300
2024-06-25,494.193234056006,507.77472797570107,492.65215468981233,507.6653747558594,12063200
