Date,Open,High,Low,Close,Volume
2024-05-06,471.43449585632965,473.72234701516095,470.97499753701334,473.2532958984375,2029500
2024-05-07,474.80406107487596,480.2126095569305,473.8850936525609,479.5520935058594,3752100
2024-05-08,482.6249598097555,485.3340105651067,478.7097149634367,481.7059631347656,3078900
2024-05-09,480.6816846845609,486.2625340203921,480.6816846845609,485.3627014160156,2342900
2024-05-10,487.2485392255708,491.6328351718469,485.3340066549399,490.8957214355469,2784600
2024-05-13,490.16814911257507,492.6761818982237,485.63071664429293,489.87139892578125,2454500
2024-05-14,492.59008096738313,494.11210157866225,485.62115465525534,491.91998291015625,2949700
2024-05-15,492.8293998313208,500.2577952793872,492.8293998313208,495.4331359863281,2981200
2024-05-16,497.77845481429165,505.58972178200486,497.3094036955584,498.99420166015625,3655800
2024-05-17,500.59281949290715,503.37843859695107,497.7880363670891,502.2106018066406,2657200
2024-05-20,502.2106250655095,502.2106250655095,494.4663149687409,495.1268310546875,2476200
2024-05-21,496.1702133533108,502.29668184824385,493.87275115090415,501.17669677734375,2521900
2024-05-22,500.47792092232635,503.79008300289246,498.4006696310641,499.0707092285156,2299100
2024-05-23,496.17024435074035,497.99859716065345,493.2122659623637,494.7439270019531,3055400
2024-05-24,494.05464627169573,495.04065850622055,485.8317330891483,486.4539794921875,2527800
2024-05-28,484.9989351758856,484.9989351758856,480.4519205309863,482.1558532714844,2912800
2024-05-29,471.3004677552479,472.79380078634637,453.045393134351,464.006103515625,7521600
2024-05-30,461.7086419519885,465.2600913846598,457.5732449446093,461.0672607421875,5169700
2024-05-31,461.7948260567717,477.1110864179137,461.7948260567717,474.20098876953125,6694800
2024-06-03,473.01394637051,477.3694958425568,471.9992465478339,476.1824951171875,2795100
2024-06-04,477.2546409231814,486.54968767372986,473.45429288818167,483.88848876953125,3178400
2024-06-05,486.96134342295676,487.34424407268926,477.48438436475664,481.6197814941406,2464400
2024-06-06,482.1271211838686,483.13226823318706,476.02934009576614,480.4710693359375,2419600
2024-06-07,480.5859555456659,481.3708916671651,469.46252641296593,469.7209777832031,3416300
