Date,Open,High,Low,Close,Volume
2024-05-06,402.5808944329267,407.67272409935384,400.2270089943109,407.28863525390625,16996600
2024-05-07,408.39177837309586,408.4016368256801,402.90597029756594,403.1521911621094,20018200
2024-05-08,401.99981584395204,405.9984394987751,400.5618646353196,404.333984375,11792300
2024-05-09,404.36352097224125,406.48101393700307,402.9157414003457,406.0870666503906,14689700
2024-05-10,406.6977419727187,409.1008598045123,405.5749605018169,408.47052001953125,13402300
2024-05-13,411.6911003868472,412.0259571204268,404.60978666771797,407.4659423828125,15440200
2024-05-14,405.79162172220066,411.1789347782618,405.3287253515243,410.26300048828125,15109300
2024-05-15,412.32511422725236,418.15627711467357,411.7035137509103,417.4360046386719,22239500
2024-05-16,416.1730933998144,419.7448271840896,414.74245474989345,415.3739013671875,17530100
2024-05-17,416.903243294278,417.2781788386251,412.4533979292135,414.60430908203125,15352200
2024-05-20,414.6042935983872,421.07677928196154,414.3872272445279,419.6658630371094,16272100
2024-05-21,421.13601884677456,427.19412489848247,419.18245157588046,423.3165588378906,21453300
2024-05-22,424.35250743086516,426.6415653807663,421.43200286988593,424.7767639160156,18073700
2024-05-23,427.194070817087,427.8156712738496,419.7448017896618,421.3037109375,17211700
2024-05-24,421.49112849227805,425.3094964313234,418.74821593347184,424.4215087890625,11855300
2024-05-28,423.8986700778892,425.07279769134385,420.9090919797955,424.5794677734375,15718000
2024-05-29,420.011237075474,425.1912013264544,420.011237075474,423.44482421875,15517100
2024-05-30,418.63975349144664,418.63975349144664,408.7139580183881,409.13824462890625,28394500
2024-05-31,411.19045552886206,411.19045552886206,399.1137496856911,409.5920715332031,47995300
2024-06-03,409.98676649158153,410.8747543349761,403.4649593325196,408.0035705566406,17484700
2024-06-04,406.9280752908703,410.88459054146256,404.21476096620233,410.51953125,14348900
2024-06-05,412.23630472822083,418.42265047577604,410.7464388812518,418.3536071777344,16988000
2024-06-06,418.35360501475236,419.6362506295676,414.9693392305099,418.8567810058594,14861300
